QUEST_LV_0500_20190513_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20190513_000002	怪物和魔族氾濫…{nl}至少不用擔心遇到強盜了。{nl}只要能活著回去的話。	몬스터와 마족들이 득실거리니..{nl}적어도 강도를 만날 걱정은 안 해도 되겠어.{nl}살아서 돌아갈 수 있다면 말이지.				케도라 상단원 타다스
QUEST_LV_0500_20190513_000003	花好幾天偵查，又要花好幾天回報！{nl}這樣事情什麼時候才會做完啊？	정찰하는 데 며칠, 보고하는 데 또 며칠!{nl}이러면 일은 언제 끝낼 생각인 거지?				바바리안 볼케
QUEST_LV_0500_20190513_000004	我是來協助塔達斯的。{nl}不是來收拾波爾凱闖的禍。	전 타다스님을 도우러 온 것이지.{nl}볼케님이 사고 치는 걸 처리하러 온 게 아닙니다.				케도라 상단원 니르기
QUEST_LV_0500_20190513_000005	我騙過了卡魯塔斯，沒有讓他搶走神樹的種子。{nl}如果解開這束縛，就可以借助種子的力量恢復力量。	카르타스의 눈을 속여 신수의 씨앗을 빼앗기지 않았어요.{nl}이 속박을 풀어낸다면 씨앗의 능력으로 힘을 다시 회복할 수 있을 거예요.				여신 메데이나
QUEST_LV_0500_20190513_000006	卡魯塔斯在這片森林設下結界追趕我的原因是什麼呢…{nl}難道他真的知道這顆種子的存在嗎？	카르타스가 이 숲에 거대한 결계를 펼치면서까지 저를 쫓는 이유가 무엇일까요..{nl}정말 이 씨앗의 존재를 알고 있는 걸까요?				여신 메데이나
QUEST_LV_0500_20190513_000007	我一調養好身體，就要馬上去找奈凌卡。{nl}奈凌卡一定知道從卡魯塔斯手中拯救梅德依那女神的方法的。	저는 몸을 추스리는대로 네링가님을 찾아가 보려 해요.{nl}네링가님이라면 분명 카르타스로부터 메데이나님을 구할 방법을 알고 계실 거에요.				큐폴 아스트라
QUEST_LV_0500_20190513_000008	啊，啟示者！這片森林被設下了邪惡的結界，進來的話很危險的！{nl}請快離開吧！	아! 계시자님! 이 숲에는 사악한 결계가 펼쳐져 있어서 들어오시면 위험해요!{nl}어서 벗어나세요!				큐폴 아스트라
QUEST_LV_0500_20190513_000009	由於卡魯塔斯在這一帶的森林設下了結界，以目前梅迪安娜的力量是無法離開這裡的。{nl}梅迪安娜女神需要快點恢復氣力才行啊…	카르타스가 숲 일대에 펼친 결계 때문에 지금 메데이나님의 힘으로는 이곳을 벗어날 수 없어요.{nl}메데이나님이 어서 기운을 차리시고 회복하셔야 할 텐데..				큐폴 일로나
QUEST_LV_0500_20190513_000010	如果卡魯塔斯發現這裡就完蛋了。{nl}啟示者，請你幫助梅德依那女神恢復過來吧。	카르타스가 이곳을 발견하면 큰일이에요.{nl}메데이나님이 회복할 수 있도록 계시자님께서 도와주세요.				큐폴 일로나
QUEST_LV_0500_20190513_000011	雖然陷入了束縛的結界裡…還好依羅娜平安無事。{nl}啟示者，請你找找有沒有解除結界的方法。	속박의 결계에 걸리긴 했지만.. 그래도 일로나가 무사해서 다행이에요.{nl}계시자님. 결계를 해제할만한 방법이 있을지 찾아봐 주세요.				큐폴 율리아
QUEST_LV_0500_20190513_000012	快和依羅娜一起去找梅德依那女神吧。	어서 일로나와 함께 메데이나님을 찾으러 가 봐요.				큐폴 율리아
QUEST_LV_0500_20190513_000013	梅德依那女神的蹤跡到這邊就斷了，去別院裡面看看怎麼樣？	메데이나님의 흔적이 이 앞에서 끊겼으니 이 안뜰 안쪽을 확인해보는 게 어떨까요?				큐폴 율리아
QUEST_LV_0500_20190513_000014	梅德依那女神平安無事，真是太好了！{nl}必須破壞對女神設下的魔界移動法陣才行…	메데이나님이 무사하셔서 다행이에요!{nl}그보다 메데이나님에게 펼쳐진 마계 이동 마법진을 파훼해야 할텐데..				큐폴 율리아
QUEST_LV_0500_20190513_000015	啟示者！請清除對梅德依那女神設下的魔界移動法陣。{nl}卡魯塔斯現在不在，是個好機會。	계시자님! 메데이나님에게 펼쳐진 마계 이동 마법진을 없애주세요.{nl}카르타스가 없는 지금이 기회에요.				큐폴 일로나
QUEST_LV_0500_20190513_000016	多虧了啟示者才能解開梅德依那女神的結界呢。{nl}現在得趕緊離開這裡…	계시자님 덕분에 메데이나님이 결계를 풀어낼 수 있었네요.{nl}어서 이곳을 벗어나야 할 텐데..				큐폴 일로나
